stop,vehicle_id,mid_time,date
Zoo,1242,2025-05-19 08:30:27.458329000,2025-05-19
Toompark,1242,2025-05-19 08:45:33.496544000,2025-05-19
Zoo,1114,2025-05-20 08:29:31.346494500,2025-05-20
Toompark,1114,2025-05-20 08:45:05.779665500,2025-05-20
Zoo,1215,2025-05-21 08:30:25.424575000,2025-05-21
Toompark,1215,2025-05-21 08:44:00.527603000,2025-05-21
Zoo,1186,2025-05-22 08:29:45.483308000,2025-05-22
Toompark,1186,2025-05-22 08:43:11.698739500,2025-05-22
Zoo,1161,2025-05-23 08:29:42.334611000,2025-05-23
Toompark,1161,2025-05-23 08:44:41.346185000,2025-05-23
Zoo,1162,2025-05-26 08:29:48.948729000,2025-05-26
Toompark,1162,2025-05-26 08:46:48.126134000,2025-05-26
Zoo,1203,2025-05-27 08:30:10.641464000,2025-05-27
Toompark,1203,2025-05-27 08:44:40.644474500,2025-05-27
Zoo,1164,2025-05-28 08:29:01.705437000,2025-05-28
Toompark,1164,2025-05-28 08:45:38.414562000,2025-05-28
