2025-05-19 08:30:12.190712,Zoo,1242,arrived
2025-05-19 08:30:42.725946,Zoo,1242,departed
2025-05-19 08:40:26.354884,Zoo,1960,arrived
2025-05-19 08:40:56.800895,Zoo,1960,departed
2025-05-19 08:45:10.644351,Toompark,1242,arrived
2025-05-19 08:45:56.348737,Toompark,1242,departed
2025-05-19 08:48:43.715988,Zoo,1829,arrived
2025-05-19 08:49:24.274468,Zoo,1829,departed
2025-05-19 09:02:16.091901,Toompark,1960,arrived
2025-05-19 09:02:51.677333,Toompark,1960,departed
2025-05-19 09:10:03.232856,Toompark,1829,arrived
2025-05-19 09:10:23.551103,Toompark,1829,departed
2025-05-20 08:29:16.102408,Zoo,1114,arrived
2025-05-20 08:29:46.590581,Zoo,1114,departed
2025-05-20 08:40:26.507563,Zoo,1113,arrived
2025-05-20 08:41:07.148802,Zoo,1113,departed
2025-05-20 08:44:40.401348,Toompark,1114,arrived
2025-05-20 08:45:31.157983,Toompark,1114,departed
2025-05-20 08:50:00.254223,Zoo,1157,arrived
2025-05-20 08:50:30.729290,Zoo,1157,departed
2025-05-20 08:56:46.695448,Toompark,1113,arrived
2025-05-20 08:57:52.683915,Toompark,1113,departed
2025-05-20 09:05:19.865154,Toompark,1157,arrived
2025-05-20 09:05:55.504275,Toompark,1157,departed
